Crop Name,Min Temp (°C),Max Temp (°C),Ideal Conditions,Min Soil Moisture (%),Max Soil Moisture (%),Rainfall (mm/year),Soil Type,Sunlight (hours/day),Other Notes
Wheat,5,20,Clear,10,50,400,Loamy,6,Prefers well-drained soil.
Rice,6,21,Cloudy,11,51,401,Sandy,7,Thrives in humid conditions.
Corn,7,22,Rainy,12,52,402,Clay,8,Requires regular irrigation.
Soybean,8,23,Sunny,13,53,403,Silt,9,Ideal for tropical regions.
Barley,9,24,Clear,14,54,404,Peaty,10,Prefers well-drained soil.
Oats,10,25,Cloudy,15,55,405,Chalky,11,Thrives in humid conditions.
Sugarcane,11,26,Rainy,16,56,406,Loamy,6,Requires regular irrigation.
Potato,12,27,Sunny,17,57,407,Sandy,7,Ideal for tropical regions.
Tomato,13,28,Clear,18,58,408,Clay,8,Prefers well-drained soil.
Onion,14,29,Cloudy,19,59,409,Silt,9,Thrives in humid conditions.
Garlic,15,30,Rainy,20,60,410,Peaty,10,Requires regular irrigation.
Carrot,16,31,Sunny,21,61,411,Chalky,11,Ideal for tropical regions.
Spinach,17,32,Clear,22,62,412,Loamy,6,Prefers well-drained soil.
Lettuce,18,33,Cloudy,23,63,413,Sandy,7,Thrives in humid conditions.
Peas,19,34,Rainy,24,64,414,Clay,8,Requires regular irrigation.
Chickpeas,20,35,Sunny,25,65,415,Silt,9,Ideal for tropical regions.
Banana,21,36,Clear,26,66,416,Peaty,10,Prefers well-drained soil.
Apple,22,37,Cloudy,27,67,417,Chalky,11,Thrives in humid conditions.
Orange,23,38,Rainy,28,68,418,Loamy,6,Requires regular irrigation.
Grapes,24,39,Sunny,29,69,419,Sandy,7,Ideal for tropical regions.
Mango,25,20,Clear,30,70,420,Clay,8,Prefers well-drained soil.
Pineapple,26,21,Cloudy,31,71,421,Silt,9,Thrives in humid conditions.
Papaya,27,22,Rainy,32,72,422,Peaty,10,Requires regular irrigation.
Strawberry,28,23,Sunny,33,73,423,Chalky,11,Ideal for tropical regions.
Cucumber,29,24,Clear,34,74,424,Loamy,6,Prefers well-drained soil.
