Class,Description,Causes,Remedies,Products
Pepper__bell___Bacterial_spot,"Bacterial spot causes dark, water-soaked lesions on leaves and fruits.","Caused by Xanthomonas bacteria, spread by contaminated tools and water.","Use copper-based fungicides, avoid overhead watering, and remove infected leaves.","copper-based fungicides"
Pepper__bell___healthy,"The plant is healthy with no visible diseases.","No external factors causing disease.","No treatment needed, maintain proper soil health.",""
Potato___Early_blight,"Early blight causes dark, target-like spots on leaves and weakens the plant.","Caused by Alternaria fungus, thrives in humid conditions and poor crop rotation.","Apply copper-based fungicides, practice crop rotation, remove infected plant parts.","copper-based fungicides"
Potato___healthy,"The plant is healthy with no visible diseases.","No external factors causing disease.","No treatment required, maintain good irrigation and nutrient balance.",""
Potato___Late_blight,"Late blight causes large brown lesions on leaves and spreads rapidly.","Caused by Phytophthora infestans, spreads in wet and humid conditions.","Use fungicides like chlorothalonil or mancozeb, remove infected leaves, avoid overhead watering.","chlorothalonil, mancozeb"
Tomato_Bacterial_spot,"Bacterial spot creates small water-soaked lesions on leaves and fruit.","Caused by Xanthomonas bacteria, spreads through splashed water and contaminated tools.","Use copper-based sprays, avoid working in the garden when plants are wet.","copper-based sprays"
Tomato__Tomato_YellowLeaf__Curl_Virus,"This virus causes curling and yellowing of leaves, stunting plant growth.","Spread by whiteflies, common in warm climates.","Use disease-resistant tomato varieties, control whiteflies, remove infected plants.",""
Tomato_Septoria_leaf_spot,"Septoria leaf spot creates small brown spots on leaves, leading to leaf drop.","Caused by the Septoria fungus, thrives in warm and wet conditions.","Apply fungicides, remove affected leaves, ensure proper air circulation.","fungicides"
Tomato_Early_blight,"Early blight causes brown spots with concentric rings on leaves and stems.","Caused by Alternaria fungus, spread through soil and plant debris.","Use organic fungicides, ensure good soil drainage, remove affected leaves.","organic fungicides"
Tomato_Spider_mites_Two_spotted_spider_mite,"Spider mites cause yellow spots and webbing on leaves.","Caused by tiny spider mites that thrive in hot, dry conditions.","Use neem oil or insecticidal soap, maintain humidity, introduce predatory mites.","neem oil, insecticidal soap"
Tomato_healthy,"The plant is healthy with no visible diseases.","No external factors causing disease.","No treatment required, ensure proper sunlight and watering.",""
Tomato__Target_Spot,"Target spot creates dark, round lesions with concentric rings on leaves.","Caused by Corynespora fungus, thrives in humid environments.","Use copper-based fungicides, remove infected leaves, ensure proper spacing.","copper-based fungicides"
Tomato_Late_blight,"Late blight causes water-soaked lesions on leaves and fruits, leading to decay.","Caused by Phytophthora infestans, spreads in cool, wet conditions.","Apply fungicides like chlorothalonil, remove and destroy infected plants.","chlorothalonil"
Tomato_Leaf_Mold,"Leaf mold appears as yellow spots on leaves, turning brown over time.","Caused by Passalora fulva fungus, spreads in humid environments.","Increase air circulation, apply copper-based fungicides, reduce humidity in greenhouses.","copper-based fungicides"
Tomato__Tomato_mosaic_virus,"This virus causes mottled and deformed leaves, reducing fruit yield.","Spread through contaminated tools, seeds, and human touch.","Control aphids, use resistant tomato varieties, disinfect gardening tools.",""
